pos,neg,neu,compound
0.0,0.278,0.722,-0.8074
0.062,0.048,0.89,-0.0865
0.289,0.0,0.711,0.9334
0.0,0.845,0.155,-0.8979
0.157,0.0,0.843,0.0772
0.838,0.057,0.105,0.9971
0.0,0.327,0.673,-0.5267
0.0,0.121,0.879,-0.296
0.0,0.507,0.493,-0.802
0.136,0.158,0.707,-0.1027
0.0,0.0,1.0,0.0
0.098,0.226,0.677,-0.4019
0.158,0.251,0.591,-0.61
0.068,0.072,0.859,-0.296
0.352,0.0,0.648,0.5859
0.0,0.492,0.508,-0.4404
0.039,0.112,0.849,-0.6144
0.3,0.0,0.7,0.4588
0.199,0.0,0.801,0.6908
0.231,0.059,0.71,0.7035
0.114,0.145,0.741,-0.4215
0.15,0.158,0.692,-0.0516
0.236,0.193,0.571,0.2023
0.372,0.185,0.444,0.7232
0.082,0.109,0.808,-0.1531
0.149,0.0,0.851,0.6369
0.055,0.186,0.759,-0.6249
0.0,0.468,0.532,-0.6597
0.0,0.101,0.899,-0.5423
0.094,0.272,0.634,-0.8271
0.156,0.283,0.561,-0.6249
0.0,0.118,0.882,-0.6486
0.182,0.132,0.686,0.2057
0.0,1.0,0.0,-0.959
0.349,0.502,0.15,-0.4715
0.109,0.091,0.8,-0.4767
0.0,0.62,0.38,-0.9081
0.242,0.0,0.758,0.6249
0.207,0.0,0.793,0.7003
0.095,0.143,0.762,-0.3818
0.193,0.165,0.642,0.1531
0.141,0.0,0.859,0.6597
0.0,0.565,0.435,-0.7579
0.0,0.0,1.0,0.0
0.12,0.0,0.88,0.2584
0.235,0.0,0.765,0.7041
0.0,0.188,0.812,-0.8126
0.098,0.082,0.82,0.1027
0.206,0.0,0.794,0.2263
0.0,0.0,1.0,0.0
0.0,0.576,0.424,-0.7783
0.0,0.0,1.0,0.0
0.05,0.0,0.95,0.0382
0.221,0.369,0.41,-0.4215
0.0,0.0,1.0,0.0
0.191,0.238,0.572,-0.4576
0.047,0.267,0.686,-0.7964
0.113,0.233,0.655,-0.6486
0.0,0.24,0.76,-0.8999
0.166,0.0,0.834,0.3384
0.32,0.333,0.346,-0.0772
0.0,0.0,1.0,0.0
0.228,0.092,0.679,0.6367
0.094,0.34,0.566,-0.8317
0.053,0.167,0.78,-0.7391
0.079,0.279,0.642,-0.8225
0.06,0.095,0.845,-0.4019
0.107,0.364,0.529,-0.9477
0.0,0.44,0.56,-0.6705
0.0,0.333,0.667,-0.4585
0.0,0.524,0.476,-0.6705
0.071,0.356,0.573,-0.9508
0.183,0.28,0.537,-0.7251
0.0,0.132,0.868,-0.6908
0.155,0.06,0.785,0.7717
0.0,0.224,0.776,-0.8316
0.496,0.285,0.219,0.2263
0.0,0.222,0.778,-0.5719
0.111,0.12,0.769,-0.0258
0.0,0.328,0.672,-0.8323
0.124,0.279,0.597,-0.4767
0.0,0.0,1.0,0.0
0.0,0.561,0.439,-0.9575
0.0,0.783,0.217,-0.8969
0.0,0.636,0.364,-0.5423
0.162,0.387,0.45,-0.5423
0.088,0.438,0.474,-0.8625
0.0,0.0,1.0,0.0
